,25percentile,50percentile,5percentile,75percentile,95percentile,element length,role in structure
0,0.0,0.0,0.0,0.0,0.0,3,hairpin loop (end)
1,0.1,0.4,0.0,0.9,1.3,4,hairpin loop (end)
2,0.1,0.5,0.0,0.9,1.4,5,hairpin loop (end)
3,0.1,0.5,0.0,0.9,1.4,6,hairpin loop (end)
4,0.1,0.6,0.0,1.0,1.4,7,hairpin loop (end)
5,0.2,0.6,0.0,1.0,1.4,8,hairpin loop (end)
6,0.0,0.0,0.0,0.0,0.0,3,hairpin loop (middle)
7,0.0,0.0,0.0,0.0,0.0,4,hairpin loop (middle)
8,0.0,0.0,0.0,0.0,0.0,5,hairpin loop (middle)
9,0.0,0.0,0.0,0.0,0.0,6,hairpin loop (middle)
10,0.0,0.0,0.0,0.0,0.0,7,hairpin loop (middle)
11,0.0,0.0,0.0,0.0,0.0,8,hairpin loop (middle)
12,2.1,2.4,1.7,2.6,3.1,2,stack (end)
13,0.9,2.0,0.0,2.4,2.9,3,stack (end)
14,0.5,1.5,0.0,2.2,2.8,4,stack (end)
15,0.3,1.4,0.0,1.7,2.3,5,stack (end)
16,1.0,2.3,0.4,2.7,5.3,3,stack (middle)
17,0.7,2.1,0.1,2.7,4.9,4,stack (middle)
18,0.6,2.0,0.0,2.7,4.9,5,stack (middle)
19,0.0,0.0,0.0,0.0,0.0,1,bulge (end)
20,1.0,2.6,0.0,2.6,2.7,1,internal loop (end)
21,0.1,0.2,0.0,0.4,0.8,1,exterior loop (end)
22,0.0,0.0,0.0,0.2,0.6,2,exterior loop (end)
23,0.0,0.0,0.0,0.2,0.7,3,exterior loop (end)
24,0.0,0.0,0.0,0.3,0.9,4,exterior loop (end)
25,0.0,0.0,0.0,0.5,0.9,5,exterior loop (end)
26,0.0,0.0,0.0,0.0,0.0,3,exterior loop (middle)
27,0.0,0.0,0.0,0.0,0.0,4,exterior loop (middle)
28,0.0,0.0,0.0,0.0,0.0,5,exterior loop (middle)
